18
18
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,1,1,1,1,1,20,1,1,1,1,1,1,1,20,20,20
20,20,1,1,1,1,1,20,1,1,1,1,1,1,1,20,20,20
20,20,1,1,1,1,1,20,1,1,1,1,1,1,1,20,20,20
20,20,1,1,1,1,1,20,1,1,1,1,1,1,1,20,20,20
20,20,1,1,1,1,1,20,1,1,1,1,1,1,1,20,20,20
20,20,20,3,2,20,20,20,3,2,20,20,20,20,20,20,20,20
20,20,1,1,1,1,1,2,1,1,1,1,1,1,1,20,20,20
20,20,1,2,3,1,1,3,1,1,1,1,1,1,1,20,20,20
20,20,22,22,22,22,22,20,1,1,1,1,1,1,1,20,20,20
20,20,22,22,22,22,22,20,1,1,1,1,1,1,1,20,20,20
20,20,22,22,22,22,22,20,1,1,1,1,1,1,1,20,20,20
20,20,22,22,22,22,22,20,1,1,42,41,40,1,1,20,20,20
20,20,22,22,22,22,22,20,1,1,1,1,1,1,1,20,20,20
20,20,22,22,22,22,22,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
